nohup: ignoring input
Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12
Parallelizing across 4 GPUs!

--- Starting Engineered Knowledge Distillation ---
/home/jay_agarwal_2022/.local/lib/python3.10/site-packages/torch/nn/modules/linear.py:134: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:330.)
  return F.linear(input, self.weight, self.bias)
Epoch 1/100 | Batch 0/18922 | KD Loss: 6.0287 | Base Loss: 0.7444
Epoch 1/100 | Batch 200/18922 | KD Loss: 5.8003 | Base Loss: 0.6755
Epoch 1/100 | Batch 400/18922 | KD Loss: 5.5488 | Base Loss: 0.6905
Epoch 1/100 | Batch 600/18922 | KD Loss: 5.7341 | Base Loss: 0.7221
Epoch 1/100 | Batch 800/18922 | KD Loss: 5.4355 | Base Loss: 0.6981
Epoch 1/100 | Batch 1000/18922 | KD Loss: 5.2115 | Base Loss: 0.6049
Epoch 1/100 | Batch 1200/18922 | KD Loss: 5.3929 | Base Loss: 0.7556
Epoch 1/100 | Batch 1400/18922 | KD Loss: 5.7307 | Base Loss: 0.7976
Epoch 1/100 | Batch 1600/18922 | KD Loss: 5.2714 | Base Loss: 0.6883
Epoch 1/100 | Batch 1800/18922 | KD Loss: 5.5604 | Base Loss: 0.7175
Epoch 1/100 | Batch 2000/18922 | KD Loss: 5.5740 | Base Loss: 0.7393
Epoch 1/100 | Batch 2200/18922 | KD Loss: 5.4523 | Base Loss: 0.8286
Epoch 1/100 | Batch 2400/18922 | KD Loss: 5.6004 | Base Loss: 0.7413
Epoch 1/100 | Batch 2600/18922 | KD Loss: 5.5954 | Base Loss: 0.8805
Epoch 1/100 | Batch 2800/18922 | KD Loss: 5.1729 | Base Loss: 0.6482
Epoch 1/100 | Batch 3000/18922 | KD Loss: 5.4038 | Base Loss: 0.6325
Epoch 1/100 | Batch 3200/18922 | KD Loss: 5.4009 | Base Loss: 0.7222
Epoch 1/100 | Batch 3400/18922 | KD Loss: 5.6451 | Base Loss: 0.6623
Epoch 1/100 | Batch 3600/18922 | KD Loss: 5.0050 | Base Loss: 0.5626
Epoch 1/100 | Batch 3800/18922 | KD Loss: 5.3433 | Base Loss: 0.6714
Epoch 1/100 | Batch 4000/18922 | KD Loss: 5.2906 | Base Loss: 0.7262
Epoch 1/100 | Batch 4200/18922 | KD Loss: 5.5287 | Base Loss: 0.7201
Epoch 1/100 | Batch 4400/18922 | KD Loss: 5.3458 | Base Loss: 0.7341
Epoch 1/100 | Batch 4600/18922 | KD Loss: 5.3317 | Base Loss: 0.7547
Epoch 1/100 | Batch 4800/18922 | KD Loss: 5.4628 | Base Loss: 0.6828
Epoch 1/100 | Batch 5000/18922 | KD Loss: 5.5226 | Base Loss: 0.6785
Epoch 1/100 | Batch 5200/18922 | KD Loss: 5.4210 | Base Loss: 0.6978
Epoch 1/100 | Batch 5400/18922 | KD Loss: 5.6581 | Base Loss: 0.7471
Epoch 1/100 | Batch 5600/18922 | KD Loss: 4.7922 | Base Loss: 0.6343
Epoch 1/100 | Batch 5800/18922 | KD Loss: 4.9272 | Base Loss: 0.6375
Epoch 1/100 | Batch 6000/18922 | KD Loss: 5.2535 | Base Loss: 0.7017
Epoch 1/100 | Batch 6200/18922 | KD Loss: 5.3264 | Base Loss: 0.6806
Epoch 1/100 | Batch 6400/18922 | KD Loss: 5.5885 | Base Loss: 0.7168
Epoch 1/100 | Batch 6600/18922 | KD Loss: 5.2143 | Base Loss: 0.7332
Epoch 1/100 | Batch 6800/18922 | KD Loss: 5.3783 | Base Loss: 0.8275
Epoch 1/100 | Batch 7000/18922 | KD Loss: 4.9695 | Base Loss: 0.5893
Epoch 1/100 | Batch 7200/18922 | KD Loss: 5.5015 | Base Loss: 0.7765
Epoch 1/100 | Batch 7400/18922 | KD Loss: 5.6580 | Base Loss: 0.7686
Epoch 1/100 | Batch 7600/18922 | KD Loss: 5.2666 | Base Loss: 0.8030
Epoch 1/100 | Batch 7800/18922 | KD Loss: 4.8556 | Base Loss: 0.6678
Epoch 1/100 | Batch 8000/18922 | KD Loss: 5.6257 | Base Loss: 0.8289
Epoch 1/100 | Batch 8200/18922 | KD Loss: 5.1673 | Base Loss: 0.7095
Epoch 1/100 | Batch 8400/18922 | KD Loss: 5.4591 | Base Loss: 0.7682
Epoch 1/100 | Batch 8600/18922 | KD Loss: 5.4979 | Base Loss: 0.8092
Epoch 1/100 | Batch 8800/18922 | KD Loss: 5.4141 | Base Loss: 0.7037
Epoch 1/100 | Batch 9000/18922 | KD Loss: 5.2871 | Base Loss: 0.6796
Epoch 1/100 | Batch 9200/18922 | KD Loss: 5.5243 | Base Loss: 0.7618
Epoch 1/100 | Batch 9400/18922 | KD Loss: 5.0985 | Base Loss: 0.6648
Epoch 1/100 | Batch 9600/18922 | KD Loss: 5.4031 | Base Loss: 0.7207
Epoch 1/100 | Batch 9800/18922 | KD Loss: 5.2487 | Base Loss: 0.7910
Epoch 1/100 | Batch 10000/18922 | KD Loss: 5.1565 | Base Loss: 0.7330
Epoch 1/100 | Batch 10200/18922 | KD Loss: 5.4274 | Base Loss: 0.6995
Epoch 1/100 | Batch 10400/18922 | KD Loss: 5.0098 | Base Loss: 0.7327
Epoch 1/100 | Batch 10600/18922 | KD Loss: 5.0389 | Base Loss: 0.7419
Epoch 1/100 | Batch 10800/18922 | KD Loss: 5.2898 | Base Loss: 0.7357
Epoch 1/100 | Batch 11000/18922 | KD Loss: 5.3558 | Base Loss: 0.6832
Epoch 1/100 | Batch 11200/18922 | KD Loss: 5.3409 | Base Loss: 0.6104
Epoch 1/100 | Batch 11400/18922 | KD Loss: 5.2723 | Base Loss: 0.7309
Epoch 1/100 | Batch 11600/18922 | KD Loss: 5.3301 | Base Loss: 0.7009
Epoch 1/100 | Batch 11800/18922 | KD Loss: 5.1679 | Base Loss: 0.6086
Epoch 1/100 | Batch 12000/18922 | KD Loss: 5.5264 | Base Loss: 0.8588
Epoch 1/100 | Batch 12200/18922 | KD Loss: 5.3809 | Base Loss: 0.6959
Epoch 1/100 | Batch 12400/18922 | KD Loss: 5.3101 | Base Loss: 0.7354
Epoch 1/100 | Batch 12600/18922 | KD Loss: 5.2283 | Base Loss: 0.8429
Epoch 1/100 | Batch 12800/18922 | KD Loss: 5.1527 | Base Loss: 0.6502
Epoch 1/100 | Batch 13000/18922 | KD Loss: 5.2171 | Base Loss: 0.7449
Epoch 1/100 | Batch 13200/18922 | KD Loss: 5.2683 | Base Loss: 0.8076
Epoch 1/100 | Batch 13400/18922 | KD Loss: 5.6036 | Base Loss: 0.8832
Epoch 1/100 | Batch 13600/18922 | KD Loss: 5.0571 | Base Loss: 0.6964
Epoch 1/100 | Batch 13800/18922 | KD Loss: 5.2339 | Base Loss: 0.7804
Epoch 1/100 | Batch 14000/18922 | KD Loss: 5.0040 | Base Loss: 0.7408
Epoch 1/100 | Batch 14200/18922 | KD Loss: 5.1109 | Base Loss: 0.6787
Epoch 1/100 | Batch 14400/18922 | KD Loss: 5.3520 | Base Loss: 0.6758
Epoch 1/100 | Batch 14600/18922 | KD Loss: 5.1602 | Base Loss: 0.7210
Epoch 1/100 | Batch 14800/18922 | KD Loss: 5.2206 | Base Loss: 0.7946
